Код,Валюта,Курс,Номинал,Изменение,Дата,Валюта (Код)
AZN,Азербайджанский манат,41.375,1,-0.9649,2023-01-08,Азербайджанский манат (AZN)
AMD,Армянский драм,17.8717,100,-0.4242,2023-01-08,Армянский драм (AMD)
BYN,Белорусский рубль,25.7044,1,-0.5994,2023-01-08,Белорусский рубль (BYN)
BGN,Болгарский лев,38.2977,1,-0.7931,2023-01-08,Болгарский лев (BGN)
BRL,Бразильский реал,13.4813,1,-0.1682,2023-01-08,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,84.7919,1,-1.8478,2023-01-08,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.7227,100,-0.3311,2023-01-08,Венгерский форинт (HUF)
DKK,Датская крона,10.0722,1,-0.2262,2023-01-08,Датская крона (DKK)
USD,Доллар США,70.3375,1,-1.6403,2023-01-08,Доллар США (USD)
EUR,Евро,75.6553,1,-0.4212,2023-01-08,Евро (EUR)
INR,Индийская рупия,84.8785,100,-2.1901,2023-01-08,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2023-01-08,Исландская крона (ISK)
KZT,Казахстанский тенге,15.2583,100,-0.3473,2023-01-08,Казахстанский тенге (KZT)
CAD,Канадский доллар,51.8828,1,-1.1786,2023-01-08,Канадский доллар (CAD)
KGS,Киргизский сом,82.0933,100,-1.9144,2023-01-08,Киргизский сом (KGS)
CNY,Китайский юань,98.9492,10,-2.3568,2023-01-08,Китайский юань (CNY)
MDL,Молдавский лей,36.7146,10,-0.8445,2023-01-08,Молдавский лей (MDL)
NOK,Норвежская крона,71.511,10,-1.1278,2023-01-08,Норвежская крона (NOK)
PLN,Польский злотый,16.0496,1,-0.2626,2023-01-08,Польский злотый (PLN)
RON,Румынский лей,15.1766,1,-0.3022,2023-01-08,Румынский лей (RON)
SGD,Сингапурский доллар,52.3111,1,-1.073,2023-01-08,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,93.608,1,-2.1829,2023-01-08,Специальные права заимствования (XDR)
TJS,Таджикский сомони,68.9421,10,-1.6161,2023-01-08,Таджикский сомони (TJS)
TRY,Турецкая лира,37.5865,10,-0.8769,2023-01-08,Турецкая лира (TRY)
TMT,Туркменский манат,20.0964,1,-0.4687,2023-01-08,Туркменский манат (TMT)
UZS,Узбекский сум,62.6589,0,-1.6324,2023-01-08,Узбекский сум (UZS)
UAH,Украинская гривна,19.1387,10,-0.3507,2023-01-08,Украинская гривна (UAH)
CZK,Чешская крона,30.9611,10,-0.6136,2023-01-08,Чешская крона (CZK)
SEK,Шведская крона,67.3918,10,-1.3234,2023-01-08,Шведская крона (SEK)
