Код,Валюта,Курс,Номинал,Изменение,Дата,Валюта (Код)
DKK,Датская крона,94.7238,10,2.477,2022-12-20,Датская крона (DKK)
USD,Доллар США,66.3474,1,1.7396,2022-12-20,Доллар США (USD)
EUR,Евро,70.6196,1,1.8398,2022-12-20,Евро (EUR)
INR,Индийская рупия,80.2824,100,1.6929,2022-12-20,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2022-12-20,Исландская крона (ISK)
KZT,Казахстанский тенге,14.1599,100,0.3713,2022-12-20,Казахстанский тенге (KZT)
CAD,Канадский доллар,48.4748,1,1.1084,2022-12-20,Канадский доллар (CAD)
KGS,Киргизский сом,78.1017,100,2.0478,2022-12-20,Киргизский сом (KGS)
CNY,Китайский юань,94.9964,10,2.5582,2022-12-20,Китайский юань (CNY)
MDL,Молдавский лей,34.1967,10,0.8506,2022-12-20,Молдавский лей (MDL)
NOK,Норвежская крона,67.0453,10,1.556,2022-12-20,Норвежская крона (NOK)
PLN,Польский злотый,15.0366,1,0.3893,2022-12-20,Польский злотый (PLN)
RON,Румынский лей,14.3197,1,0.367,2022-12-20,Румынский лей (RON)
SGD,Сингапурский доллар,48.8963,1,1.2645,2022-12-20,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,88.2374,1,2.2567,2022-12-20,Специальные права заимствования (XDR)
TJS,Таджикский сомони,65.0197,10,1.7048,2022-12-20,Таджикский сомони (TJS)
TRY,Турецкая лира,35.5872,10,0.9305,2022-12-20,Турецкая лира (TRY)
TMT,Туркменский манат,18.9564,1,0.497,2022-12-20,Туркменский манат (TMT)
UZS,Узбекский сум,58.8971,0,1.3716,2022-12-20,Узбекский сум (UZS)
UAH,Украинская гривна,17.9645,10,0.4706,2022-12-20,Украинская гривна (UAH)
CZK,Чешская крона,29.0411,10,0.7701,2022-12-20,Чешская крона (CZK)
SEK,Шведская крона,64.0753,10,1.6378,2022-12-20,Шведская крона (SEK)
CHF,Швейцарский франк,71.3183,1,1.8326,2022-12-20,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,38.0112,10,0.7716,2022-12-20,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,50.9229,0,1.4302,2022-12-20,Южнокорейская вона (KRW)
JPY,Японская иена,48.7275,100,1.7844,2022-12-20,Японская иена (JPY)
AUD,Австралийский доллар,43.326,1,-0.5533,2022-12-19,Австралийский доллар (AUD)
AZN,Азербайджанский манат,38.0046,1,0.1802,2022-12-19,Азербайджанский манат (AZN)
AMD,Армянский драм,16.3792,100,0.0698,2022-12-19,Армянский драм (AMD)
BYN,Белорусский рубль,25.2937,1,0.0408,2022-12-19,Белорусский рубль (BYN)
BGN,Болгарский лев,35.0843,1,0.0731,2022-12-19,Болгарский лев (BGN)
BRL,Бразильский реал,12.1489,1,0.1081,2022-12-19,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,78.9507,1,-0.8089,2022-12-19,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,16.8834,100,0.0492,2022-12-19,Венгерский форинт (HUF)
DKK,Датская крона,92.2468,10,0.2008,2022-12-19,Датская крона (DKK)
USD,Доллар США,64.6078,1,0.3063,2022-12-19,Доллар США (USD)
EUR,Евро,68.7798,1,0.3328,2022-12-19,Евро (EUR)
INR,Индийская рупия,78.5895,100,0.4441,2022-12-19,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2022-12-19,Исландская крона (ISK)
KZT,Казахстанский тенге,13.7886,100,0.0642,2022-12-19,Казахстанский тенге (KZT)
CAD,Канадский доллар,47.3664,1,-0.0501,2022-12-19,Канадский доллар (CAD)
KGS,Киргизский сом,76.0539,100,0.3606,2022-12-19,Киргизский сом (KGS)
CNY,Китайский юань,92.4382,10,0.3596,2022-12-19,Китайский юань (CNY)
MDL,Молдавский лей,33.3461,10,0.0782,2022-12-19,Молдавский лей (MDL)
NOK,Норвежская крона,65.4893,10,-0.1325,2022-12-19,Норвежская крона (NOK)
PLN,Польский злотый,14.6473,1,0.0737,2022-12-19,Польский злотый (PLN)
RON,Румынский лей,13.9527,1,0.0761,2022-12-19,Румынский лей (RON)
SGD,Сингапурский доллар,47.6318,1,-0.0449,2022-12-19,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,85.9807,1,0.2089,2022-12-19,Специальные права заимствования (XDR)
TJS,Таджикский сомони,63.3149,10,0.302,2022-12-19,Таджикский сомони (TJS)
TRY,Турецкая лира,34.6567,10,0.1665,2022-12-19,Турецкая лира (TRY)
TMT,Туркменский манат,18.4594,1,0.0875,2022-12-19,Туркменский манат (TMT)
UZS,Узбекский сум,57.5255,0,0.4001,2022-12-19,Узбекский сум (UZS)
UAH,Украинская гривна,17.4939,10,0.0809,2022-12-19,Украинская гривна (UAH)
CZK,Чешская крона,28.271,10,0.0661,2022-12-19,Чешская крона (CZK)
SEK,Шведская крона,62.4375,10,-0.3373,2022-12-19,Шведская крона (SEK)
CHF,Швейцарский франк,69.4857,1,0.2624,2022-12-19,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,37.2396,10,0.1765,2022-12-19,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,49.4927,0,0.1477,2022-12-19,Южнокорейская вона (KRW)
JPY,Японская иена,46.9431,100,-0.5575,2022-12-19,Японская иена (JPY)
AUD,Австралийский доллар,43.326,1,-0.5533,2022-12-18,Австралийский доллар (AUD)
AZN,Азербайджанский манат,38.0046,1,0.1802,2022-12-18,Азербайджанский манат (AZN)
AMD,Армянский драм,16.3792,100,0.0698,2022-12-18,Армянский драм (AMD)
BYN,Белорусский рубль,25.2937,1,0.0408,2022-12-18,Белорусский рубль (BYN)
BGN,Болгарский лев,35.0843,1,0.0731,2022-12-18,Болгарский лев (BGN)
BRL,Бразильский реал,12.1489,1,0.1081,2022-12-18,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,78.9507,1,-0.8089,2022-12-18,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,16.8834,100,0.0492,2022-12-18,Венгерский форинт (HUF)
DKK,Датская крона,92.2468,10,0.2008,2022-12-18,Датская крона (DKK)
USD,Доллар США,64.6078,1,0.3063,2022-12-18,Доллар США (USD)
EUR,Евро,68.7798,1,0.3328,2022-12-18,Евро (EUR)
INR,Индийская рупия,78.5895,100,0.4441,2022-12-18,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2022-12-18,Исландская крона (ISK)
KZT,Казахстанский тенге,13.7886,100,0.0642,2022-12-18,Казахстанский тенге (KZT)
CAD,Канадский доллар,47.3664,1,-0.0501,2022-12-18,Канадский доллар (CAD)
KGS,Киргизский сом,76.0539,100,0.3606,2022-12-18,Киргизский сом (KGS)
CNY,Китайский юань,92.4382,10,0.3596,2022-12-18,Китайский юань (CNY)
MDL,Молдавский лей,33.3461,10,0.0782,2022-12-18,Молдавский лей (MDL)
NOK,Норвежская крона,65.4893,10,-0.1325,2022-12-18,Норвежская крона (NOK)
PLN,Польский злотый,14.6473,1,0.0737,2022-12-18,Польский злотый (PLN)
RON,Румынский лей,13.9527,1,0.0761,2022-12-18,Румынский лей (RON)
SGD,Сингапурский доллар,47.6318,1,-0.0449,2022-12-18,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,85.9807,1,0.2089,2022-12-18,Специальные права заимствования (XDR)
TJS,Таджикский сомони,63.3149,10,0.302,2022-12-18,Таджикский сомони (TJS)
TRY,Турецкая лира,34.6567,10,0.1665,2022-12-18,Турецкая лира (TRY)
TMT,Туркменский манат,18.4594,1,0.0875,2022-12-18,Туркменский манат (TMT)
UZS,Узбекский сум,57.5255,0,0.4001,2022-12-18,Узбекский сум (UZS)
UAH,Украинская гривна,17.4939,10,0.0809,2022-12-18,Украинская гривна (UAH)
CZK,Чешская крона,28.271,10,0.0661,2022-12-18,Чешская крона (CZK)
SEK,Шведская крона,62.4375,10,-0.3373,2022-12-18,Шведская крона (SEK)
CHF,Швейцарский франк,69.4857,1,0.2624,2022-12-18,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,37.2396,10,0.1765,2022-12-18,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,49.4927,0,0.1477,2022-12-18,Южнокорейская вона (KRW)
JPY,Японская иена,46.9431,100,-0.5575,2022-12-18,Японская иена (JPY)
